,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
41,78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,41.0,16.0,0.44,0.06,13.93,0.48,5.76,13.93,456.0,943.0,2.61,4.0,6.78
42,79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,21.0,72.0,-0.55,0.17,7.67,0.43,3.24,7.67,233.0,529.0,2.39,0.0,6.5
43,80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,57.0,23.0,0.42,0.13,8.14,0.32,3.38,8.14,193.0,588.0,2.18,1.0,6.15
44,81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,27.0,45.0,-0.25,0.1,12.22,0.35,5.03,12.22,255.0,719.0,2.24,0.0,6.25
45,82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,31.0,26.0,0.09,0.06,9.04,0.47,3.8,9.04,396.0,847.0,2.55,2.0,6.84
46,83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,21.0,80.0,-0.58,0.17,8.17,0.43,3.44,8.17,254.0,578.0,2.4,9.0,6.36
47,84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,38.0,34.0,0.06,0.08,12.67,0.42,5.24,12.67,360.0,844.0,2.34,1.0,6.5
48,85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,23.0,13.0,0.28,0.08,16.19,0.42,6.64,16.19,184.0,435.0,2.51,2.0,6.89
49,86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,37.0,25.0,0.19,0.08,17.55,0.46,7.2,17.55,321.0,701.0,2.56,0.0,7.15
50,87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,32.0,51.0,-0.23,0.08,12.14,0.47,5.04,12.14,455.0,967.0,2.49,8.0,6.73
51,88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,36.0,12.0,0.5,0.02,8.89,0.38,3.71,8.89,835.0,2211.0,2.29,1.0,6.11
52,89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,34.0,48.0,-0.17,0.08,11.45,0.48,4.77,11.45,462.0,957.0,2.52,6.0,6.82
53,90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,29.0,71.0,-0.42,0.1,15.1,0.56,6.26,15.1,528.0,951.0,2.69,2.0,7.11
54,91,https://insights.blackcoffer.com/human-rights-outlook/,3.0,3.0,0.0,0.06,11.88,0.4,4.91,11.88,38.0,94.0,2.41,17.0,6.4
55,92,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,33.0,4.0,0.78,0.06,12.21,0.43,5.06,12.21,244.0,571.0,2.35,11.0,6.34
56,93,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,39.0,34.0,0.07,0.08,7.99,0.44,3.37,7.99,414.0,933.0,2.47,16.0,6.75
57,94,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,50.0,15.0,0.54,0.06,11.58,0.48,4.82,11.58,491.0,1025.0,2.45,7.0,6.73
58,95,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,30.0,33.0,-0.05,0.1,13.47,0.42,5.55,13.47,264.0,627.0,2.41,0.0,6.56
59,96,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17.0,44.0,-0.44,0.05,14.59,0.43,6.01,14.59,493.0,1153.0,2.64,0.0,6.55
60,97,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,17.0,42.0,-0.42,0.1,11.71,0.42,4.86,11.71,243.0,574.0,2.47,8.0,6.52
61,98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,36.0,47.0,-0.13,0.13,9.0,0.45,3.78,9.0,289.0,641.0,2.45,1.0,6.58
62,99,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,23.0,27.0,-0.08,0.09,16.08,0.45,6.61,16.08,275.0,609.0,2.51,8.0,6.65
63,100,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,22.0,45.0,-0.34,0.08,12.5,0.43,5.17,12.5,353.0,815.0,2.5,6.0,6.71
64,101,https://insights.blackcoffer.com/travel-and-tourism-outlook/,4.0,3.0,0.14,0.07,11.78,0.38,4.86,11.78,40.0,105.0,2.33,32.0,6.06
65,102,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,28.0,43.0,-0.21,0.11,10.4,0.42,4.33,10.4,263.0,620.0,2.37,9.0,6.48
66,103,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,8.0,25.0,-0.52,0.08,11.56,0.42,4.79,11.56,165.0,386.0,2.46,0.0,6.45
67,104,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,27.0,57.0,-0.36,0.12,12.43,0.48,5.17,12.43,318.0,659.0,2.6,14.0,7.02
68,105,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,22.0,35.0,-0.23,0.11,13.5,0.44,5.57,13.5,236.0,538.0,2.4,0.0,6.49
69,106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,6.0,3.0,0.33,0.03,10.44,0.52,4.38,10.44,136.0,261.0,2.6,0.0,7.08
70,107,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,15.0,3.0,0.67,0.05,10.54,0.33,4.35,10.54,123.0,365.0,2.25,2.0,5.99
71,108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,32.0,57.0,-0.28,0.13,17.29,0.48,7.11,17.29,292.0,604.0,2.57,0.0,7.11
72,109,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,30.0,25.0,0.09,0.17,11.26,0.27,4.61,11.26,95.0,344.0,2.09,2.0,5.77
73,110,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,6.0,39.0,-0.73,0.06,12.72,0.45,5.27,12.72,287.0,636.0,2.42,3.0,6.7
74,111,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,14.0,33.0,-0.4,0.08,11.08,0.48,4.62,11.08,279.0,573.0,2.56,9.0,7.04
75,112,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,27.0,52.0,-0.32,0.12,11.88,0.48,4.95,11.88,292.0,604.0,2.55,4.0,7.06
76,113,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,24.0,36.0,-0.2,0.08,13.46,0.44,5.56,13.46,330.0,753.0,2.42,0.0,6.59
77,114,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,44.0,47.0,-0.03,0.1,11.62,0.43,4.82,11.62,370.0,856.0,2.44,4.0,6.59
78,115,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,23.0,46.0,-0.33,0.06,11.94,0.45,4.95,11.94,501.0,1120.0,2.5,1.0,6.46
79,116,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,25.0,24.0,0.02,0.12,19.16,0.24,7.76,19.16,114.0,479.0,2.0,0.0,5.5
80,117,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,40.0,80.0,-0.33,0.1,14.37,0.46,5.93,14.37,521.0,1131.0,2.54,2.0,6.88
81,118,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,33.0,55.0,-0.25,0.13,8.41,0.36,3.51,8.41,242.0,652.0,2.3,13.0,6.1
82,119,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,8.0,14.0,-0.27,0.09,10.14,0.47,4.24,10.14,100.0,213.0,2.69,1.0,7.12
83,120,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,46.0,92.0,-0.33,0.09,13.84,0.45,5.72,13.84,594.0,1326.0,2.44,0.0,6.68
84,121,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,35.0,63.0,-0.29,0.14,11.88,0.36,4.89,11.88,276.0,762.0,2.24,9.0,6.12
85,122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,32.0,66.0,-0.35,0.09,10.37,0.43,4.32,10.37,433.0,1012.0,2.43,5.0,6.45
86,123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,38.0,80.0,-0.36,0.1,13.96,0.43,5.76,13.96,465.0,1087.0,2.41,16.0,6.52
87,124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,47.0,74.0,-0.22,0.09,12.02,0.46,4.99,12.02,575.0,1246.0,2.62,18.0,6.61
88,125,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,57.0,17.0,0.54,0.07,16.32,0.5,6.73,16.32,504.0,1010.0,2.66,15.0,7.06
89,126,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,15.0,25.0,-0.25,0.08,14.94,0.45,6.15,14.94,213.0,477.0,2.52,0.0,6.74
90,127,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,44.0,93.0,-0.36,0.14,11.84,0.46,4.92,11.84,434.0,931.0,2.56,4.0,6.97
91,128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,30.0,46.0,-0.21,0.14,8.72,0.5,3.69,8.72,265.0,528.0,2.5,8.0,6.82
92,129,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,5.0,29.0,-0.71,0.07,13.45,0.43,5.55,13.45,190.0,443.0,2.56,7.0,6.62
93,130,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,23.0,62.0,-0.46,0.07,21.59,0.39,8.79,21.59,424.0,1099.0,2.52,8.0,6.57
94,131,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,90.0,33.0,0.46,0.11,14.65,0.47,6.05,14.65,495.0,1050.0,2.51,5.0,6.9
95,132,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,27.0,21.0,0.12,0.06,12.09,0.46,5.02,12.09,356.0,773.0,2.61,0.0,6.96
96,133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,50.0,33.0,0.2,0.12,14.88,0.58,6.18,14.88,363.0,625.0,2.84,6.0,7.6
97,134,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,10.0,14.0,-0.17,0.09,19.0,0.54,7.82,19.0,124.0,227.0,2.95,9.0,7.56
98,135,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,6.0,7.0,-0.08,0.07,11.94,0.31,4.9,11.94,59.0,190.0,2.16,5.0,5.89
99,136,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0.0,15.0,-1.0,0.07,12.73,0.51,5.3,12.73,97.0,191.0,2.62,1.0,6.99
100,137,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,4.0,7.0,-0.27,0.07,14.0,0.36,5.75,14.0,51.0,140.0,2.4,1.0,6.19
101,138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,5.0,12.0,-0.41,0.12,8.56,0.53,3.64,8.56,73.0,136.0,2.65,5.0,6.92
102,139,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,43.0,23.0,0.3,0.15,8.76,0.5,3.7,8.76,200.0,402.0,2.72,0.0,7.04
103,140,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,17.0,55.0,-0.53,0.11,11.98,0.42,4.96,11.98,264.0,623.0,2.45,5.0,6.41
104,141,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,7.0,48.0,-0.75,0.1,13.8,0.4,5.68,13.8,220.0,547.0,2.36,0.0,6.44
105,142,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,36.0,70.0,-0.32,0.1,12.64,0.5,5.25,12.64,521.0,1048.0,2.63,2.0,6.85
106,143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,5.0,26.0,-0.68,0.08,10.64,0.44,4.43,10.64,154.0,350.0,2.43,0.0,6.76
107,144,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
108,145,https://insights.blackcoffer.com/blockchain-in-fintech/,15.0,16.0,-0.03,0.06,14.53,0.45,5.99,14.53,234.0,519.0,2.48,5.0,7.07
109,146,https://insights.blackcoffer.com/blockchain-for-payments/,21.0,27.0,-0.12,0.09,10.15,0.47,4.25,10.15,256.0,545.0,2.5,3.0,7.18
110,147,https://insights.blackcoffer.com/the-future-of-investing/,41.0,14.0,0.49,0.05,11.7,0.47,4.87,11.7,452.0,971.0,2.55,1.0,6.6
111,148,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,28.0,47.0,-0.25,0.1,9.53,0.52,4.02,9.53,359.0,696.0,2.56,4.0,6.8
112,149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,33.0,4.0,0.78,0.08,14.23,0.59,5.93,14.23,259.0,438.0,2.81,27.0,7.58
113,150,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,33.0,41.0,-0.11,0.12,9.31,0.46,3.91,9.31,278.0,602.0,2.52,12.0,6.81
